u_idx,v_idx,actual,pred
2,534,3.0,3.569912
3,364,5.0,3.342884
3,443,4.0,3.6430137
3,1735,5.0,4.1946173
3,2166,5.0,3.7413406
4,281,5.0,4.282617
4,400,2.5,4.0286374
6,44,4.5,4.027024
7,514,4.5,4.307144
7,543,4.0,4.1893845
7,666,4.0,2.6406174
7,926,4.5,2.4469178
7,1000,5.0,2.5162625
7,2831,4.0,2.3967667
9,1571,2.5,2.515331
10,46,4.0,3.9285812
10,783,3.0,3.5232322
10,1706,4.0,3.3092132
11,121,4.5,4.0431366
13,2765,5.0,3.012945
15,224,3.5,2.9753165
15,601,3.0,3.0912693
16,110,4.0,2.9356
16,1319,0.5,2.9118605
16,1898,3.0,4.0171185
17,1050,3.5,3.6975017
20,1113,2.5,3.8930073
20,1462,2.5,3.2161136
20,1945,5.0,3.2736988
22,51,5.0,2.2590458
22,1404,5.0,1.7445443
22,1508,5.0,1.7008947
22,2086,5.0,3.176778
26,1206,4.0,3.1616054
28,47,4.0,3.065926
28,1364,5.0,4.7781296
29,1053,4.0,4.8287487
34,1831,4.5,4.325099
39,354,3.5,2.792726
39,2912,3.5,2.651404
42,1025,2.5,2.4209976
44,28,2.0,2.5668597
44,367,2.5,3.7797728
44,400,2.5,3.5071466
44,421,3.0,3.9970043
44,437,1.5,4.4006405
44,471,2.5,4.4597483
44,674,2.5,4.1742735
44,761,2.5,2.8967097
44,873,2.5,3.2533808
44,934,2.5,2.9130611
44,1388,3.0,3.7174058
44,1830,2.0,3.6843953
44,1878,2.5,3.1766376
46,87,5.0,3.4676766
46,562,4.0,3.6607227
48,764,3.0,3.8725345
49,56,5.0,3.533522
50,26,2.5,4.5176177
50,327,4.0,4.70264
50,688,3.5,2.273706
50,1483,1.0,2.2549348
51,592,3.5,4.4703817
52,245,5.0,4.4960113
52,1949,5.0,2.3577533
52,2546,5.0,3.9944515
54,1110,4.0,3.1408806
56,843,3.0,3.6790037
56,1023,3.0,4.6534433
56,1086,4.0,4.6363907
56,1699,3.0,3.5192697
56,1918,3.0,3.2207656
56,1935,2.5,4.3057575
56,2799,4.0,4.188449
58,1038,2.0,3.692824
58,2923,3.0,4.724195
59,100,4.0,4.8495126
59,297,3.5,3.6772518
60,1189,5.0,4.8699236
60,2024,4.5,4.7703295
60,2616,5.0,3.4264836
61,191,4.0,3.7169616
61,491,5.0,3.649873
61,631,3.5,3.143281
61,672,3.5,4.0244884
61,1534,3.5,4.046153
61,2740,3.5,4.1052895
62,319,4.5,4.2995453
63,821,5.0,4.1195927
66,1482,5.0,4.3200607
66,2745,0.5,4.6458373
67,271,3.5,4.70571
70,642,3.5,4.77831
70,724,4.0,4.5322905
70,1081,4.0,3.284616
70,1217,2.5,3.374144
70,2900,3.5,3.9101553
72,309,5.0,3.9462457
72,760,4.0,3.7495303
73,22,5.0,3.748584
73,1323,3.5,4.0159793
75,188,3.0,3.7211099
75,1027,3.5,4.532309
75,2339,4.0,4.3601656
76,468,4.0,4.34994
76,1155,4.0,4.3821273
76,1650,2.5,3.6167989
76,2292,4.5,3.334021
78,344,3.5,3.3424616
78,1466,4.0,3.8894005
78,2330,3.5,3.9688807
79,113,4.5,3.757804
80,353,4.0,3.7260516
80,868,4.0,4.0034666
80,1088,4.5,4.002431
81,771,3.5,3.6935282
81,1940,3.5,3.7742052
87,1134,3.5,3.5727673
87,1804,3.5,3.4572546
87,2388,3.5,3.476252
87,2504,4.0,3.8772008
87,2832,4.0,3.5477471
87,2990,4.5,4.543151
92,567,3.0,4.3015156
96,204,4.0,4.449616
96,1088,5.0,3.5382693
96,2781,4.0,4.7874355
97,737,2.0,4.90741
97,1447,1.5,4.89423
101,334,4.0,3.68089
101,975,1.5,3.559052
103,306,3.5,4.675944
107,723,4.0,4.559657
109,299,4.0,4.5981236
111,477,5.0,3.7256851
111,1833,3.5,3.715247
113,798,3.5,3.4122472
113,968,3.5,4.5224786
113,1223,3.5,3.0689015
113,1337,3.5,4.232978
113,1638,3.5,4.340975
113,1751,3.5,4.3326817
113,2574,3.5,3.740522
115,526,4.0,3.439214
116,1063,4.0,4.121277
118,1229,3.0,4.4312186
125,1983,4.0,4.3470583
125,2705,4.0,4.1460285
127,7,3.5,4.0603323
127,294,3.0,3.3330774
129,1258,4.5,3.401906
129,1954,4.5,3.4857748
130,2528,2.5,3.2523446
135,352,3.5,3.4620776
138,473,4.5,3.7941513
138,677,4.0,3.3662348
138,2123,4.5,2.7877045
146,2169,5.0,3.7299397
147,895,2.5,3.8153186
147,2129,3.5,3.9149542
147,2547,1.0,3.8439927
149,432,4.0,3.7606423
152,335,3.0,3.7440777
152,389,2.0,4.875371
152,1839,3.0,4.9196577
152,2005,0.5,3.2192156
152,2353,4.0,3.0354278
152,2708,5.0,2.8507102
154,383,5.0,2.8588605
154,1795,5.0,3.13507
156,272,3.0,3.0095384
157,509,2.0,3.4940124
157,726,3.0,3.5362706
157,1294,4.0,3.492302
157,1407,2.5,3.5769536
157,2127,2.5,3.838924
160,182,4.0,3.65051
160,560,5.0,1.523807
165,500,4.5,1.5467436
165,667,3.5,1.5721092
165,1938,3.5,1.694639
165,2595,5.0,3.4656072
168,866,5.0,3.2099411
170,470,3.5,3.446611
170,699,4.0,3.902562
170,1763,2.5,3.3182898
171,222,4.0,4.901937
171,325,4.0,4.168467
171,340,4.5,3.6131825
171,369,4.5,3.7312965
171,414,4.0,2.6245122
171,642,5.0,2.798202
171,644,4.5,4.278097
171,681,4.5,4.052511
171,712,3.0,3.0880823
171,2931,3.0,3.2193143
172,700,2.5,3.545474
173,1936,3.0,3.5677423
174,320,3.0,3.895664
174,780,4.0,4.2041945
175,133,4.0,4.261182
175,504,5.0,4.034289
175,735,3.5,4.2516627
175,736,5.0,4.454167
175,2017,3.0,4.1502194
175,2052,4.0,3.9925928
175,2683,5.0,4.0232916
176,706,3.5,3.150629
176,1555,4.0,2.9319048
181,5,2.5,2.9986272
181,934,5.0,2.971497
183,77,4.5,3.286325
183,130,4.5,2.9732132
183,294,3.5,2.9156709
183,376,4.5,3.0218177
183,588,4.0,3.0854144
